budget,campaign_name,channel,conversion_rate,end_date,revenue,roi,start_date,target_audience,type,impressions,clicks,leads,conversions
64119.81,Enterprise-wide mission-critical utilization,promotion,0.93,9/5/2023,211910.58,0.26,9/29/2022,B2B,social media,18529,2740,555,5
60594.85,Adaptive clear-thinking methodology,paid,0.82,3/21/2024,850376.61,0.49,5/16/2023,B2C,social media,27262,2337,640,5
22411.36,Networked zero administration model,organic,0.4,11/6/2023,102385.82,0.51,11/1/2022,B2C,webinar,19268,1250,522,2
47906.32,Seamless well-modulated open architecture,promotion,0.45,10/9/2023,871834.53,0.74,8/28/2022,B2B,webinar,31271,2704,1345,6
28548.76,Exclusive radical installation,promotion,0.6,10/10/2023,181056.53,0.28,8/9/2022,B2C,email,22185,3512,806,4
44251.43,Intuitive bottom-line algorithm,referral,0.16,5/6/2024,846562.3,0.72,8/27/2022,B2B,email,31243,5572,1785,2
32895.11,Compatible stable extranet,referral,0.1,11/13/2023,136858.12,0.8,12/24/2022,B2C,podcast,49099,8569,3770,3
55985.9,Progressive secondary synergy,organic,0.59,4/6/2024,505421.93,0.9,11/8/2022,B2B,social media,18571,2034,531,3
23212.27,Sharable next generation ability,referral,0.49,2/19/2024,830178.2,0.13,12/15/2022,B2C,webinar,49976,7507,2751,13
42051.6,Devolved value-added support,referral,0.25,2/13/2024,287690.5,0.32,7/2/2023,B2B,email,48044,3879,1628,4
79829.52,Front-line full-range matrices,paid,0.7,8/10/2023,472828.97,0.69,8/4/2022,B2B,email,12568,1181,454,3
96169.66,Grass-roots foreground firmware,organic,0.45,4/21/2024,455474.93,0.28,4/26/2023,B2C,podcast,12027,2218,568,2
72722.22,Implemented reciprocal monitoring,organic,0.1,6/19/2024,619138.31,0.79,2/26/2023,B2C,email,12695,659,202,0
52125.2,Reverse-engineered foreground approach,referral,0.8,2/18/2024,27754.76,0.16,2/22/2023,B2C,webinar,15258,958,416,3
77340.13,Open-source maximized projection,referral,0.74,3/22/2024,347402.29,0.53,3/23/2023,B2B,webinar,32002,2598,951,7
97763.51,Intuitive object-oriented moratorium,promotion,0.7,8/28/2023,244772.45,0.23,12/18/2022,B2C,webinar,49504,2672,538,3
15463.29,Virtual 4thgeneration Graphical User Interface,promotion,0.6,3/27/2024,963251.51,0.38,7/27/2023,B2B,social media,43159,3332,1427,8
51210.38,Reactive multi-tasking extranet,referral,0.83,8/25/2023,536138.69,0.82,12/26/2022,B2B,email,23986,3297,694,5
16066.41,Enhanced heuristic archive,paid,0.3,9/26/2023,508865.73,0.67,5/5/2023,B2B,email,22666,2566,1087,3
89383.19,Stand-alone bandwidth-monitored capability,referral,0.77,3/29/2024,828963.15,0.83,10/10/2022,B2C,social media,48660,8948,2333,17
46558.0,Open-source coherent archive,organic,0.4,6/11/2024,315646.86,0.88,8/18/2022,B2B,podcast,13561,2340,1140,4
62178.3,Future-proofed coherent core,paid,0.2,5/8/2024,317338.48,0.28,9/14/2022,B2C,social media,36854,3732,1158,2
20201.5,Decentralized radical emulation,promotion,0.89,4/23/2024,335385.42,0.76,9/18/2022,B2B,webinar,48952,4352,1297,11
43643.99,Team-oriented content-based data-warehouse,organic,0.55,1/15/2024,470023.84,0.26,11/12/2022,B2C,social media,32662,3493,854,4
20647.17,Expanded tangible capacity,organic,0.78,5/7/2024,759838.76,0.87,6/26/2023,B2B,email,18392,2548,743,5
29781.93,Secured methodical system engine,paid,0.46,5/8/2024,567832.12,0.51,5/30/2023,B2C,webinar,40535,3656,1692,7
89003.41,Synergistic well-modulated conglomeration,referral,0.18,11/23/2023,643537.76,0.87,4/23/2023,B2C,podcast,23067,3312,1652,2
34838.17,Programmable dedicated ability,promotion,0.22,3/26/2024,286374.76,0.55,10/18/2022,B2B,podcast,33599,3743,1162,2
8209.8,Public-key dynamic synergy,paid,0.78,11/16/2023,725706.76,0.91,3/3/2023,B2B,webinar,45222,6005,2009,15
13024.35,Synergistic actuating benchmark,organic,0.99,8/20/2023,882368.6,0.2,12/14/2022,B2C,email,21837,2520,1049,10
9180.95,Optional client-driven approach,organic,0.97,7/2/2024,93102.44,0.39,12/30/2022,B2C,webinar,24039,2263,1054,10
46215.77,Cloned exuding matrices,paid,0.63,7/16/2024,326486.31,0.65,6/3/2023,B2C,email,40818,7847,2965,18
80474.62,Expanded zero tolerance adapter,organic,0.7,5/7/2024,394021.52,0.86,9/19/2022,B2C,email,29115,4790,1520,10
12789.78,Persistent incremental installation,paid,0.4,1/27/2024,516246.2,0.73,12/22/2022,B2C,email,20965,1488,481,1
42818.39,Integrated full-range encoding,promotion,0.14,3/1/2024,778282.87,0.12,6/18/2023,B2B,email,34538,6226,2544,3
77090.58,Total system-worthy framework,organic,0.1,8/10/2023,818026.22,0.67,1/16/2023,B2C,email,15056,1853,372,0
10659.15,Persistent disintermediate artificial intelligence,promotion,0.84,8/21/2023,506589.58,0.7,1/23/2023,B2B,email,42482,7824,3019,25
71211.28,Self-enabling explicit interface,referral,0.94,6/19/2024,628222.4,0.85,1/23/2023,B2B,email,18110,3078,943,8
55105.95,User-centric responsive software,paid,0.65,8/4/2023,980593.34,0.39,9/24/2022,B2B,email,23773,2704,1185,7
22701.3,Enterprise-wide bottom-line forecast,promotion,0.86,1/26/2024,89740.19,0.21,1/27/2023,B2C,email,37266,1988,453,3
28460.11,Upgradable transitional productivity,paid,0.37,5/12/2024,593949.35,0.0,12/25/2022,B2B,social media,27412,2475,931,3
81474.69,Assimilated asynchronous project,paid,0.98,6/25/2024,116549.43,0.34,3/30/2023,B2B,email,43270,5678,1954,19
99406.41,Reverse-engineered 4thgeneration alliance,promotion,0.3,12/12/2023,485297.93,0.77,10/10/2022,B2B,webinar,16910,2452,962,2
89764.52,Networked bi-directional help-desk,organic,0.8,9/24/2023,346320.53,0.5,3/23/2023,B2C,podcast,35446,3143,689,5
11769.71,Diverse exuding superstructure,paid,0.24,11/4/2023,155142.36,0.63,9/7/2022,B2B,webinar,10206,723,270,0
44085.8,Organized directional service-desk,referral,0.71,5/11/2024,88806.24,0.97,10/17/2022,B2B,webinar,31518,5523,2034,14
31712.22,Balanced 24hour intranet,paid,0.12,4/11/2024,523802.73,0.5,9/15/2022,B2C,email,32361,6396,2354,2
34455.95,Reactive well-modulated portal,organic,0.6,9/2/2023,601996.12,0.4,2/4/2023,B2B,social media,33419,4306,1640,9
31468.43,Realigned intangible application,promotion,0.48,1/24/2024,147390.21,0.47,7/6/2023,B2B,email,32403,2454,988,4
89740.86,Front-line web-enabled orchestration,paid,0.21,6/13/2024,477285.33,0.37,1/12/2023,B2C,social media,28141,2556,1128,2
6806.2,Polarized upward-trending frame,paid,0.78,5/23/2024,519790.34,0.55,3/23/2023,B2B,webinar,24820,1309,367,2
21795.27,Persevering content-based archive,promotion,0.89,1/4/2024,397630.37,0.55,12/27/2022,B2B,social media,16374,3064,1371,12
29328.34,De-engineered content-based budgetary management,promotion,0.47,10/6/2023,92788.7,0.4,9/10/2022,B2B,social media,11678,790,276,1
7632.49,Inverse well-modulated forecast,organic,0.62,7/11/2024,782850.48,0.12,7/22/2023,B2B,webinar,43827,5981,1334,8
46890.76,Progressive web-enabled concept,organic,0.64,5/17/2024,258942.95,0.26,11/16/2022,B2B,webinar,26198,2386,519,3
81853.53,Visionary 4thgeneration help-desk,referral,0.17,5/26/2024,974972.63,0.54,11/23/2022,B2C,webinar,19914,2651,796,1
46635.4,Up-sized attitude-oriented task-force,promotion,0.46,4/7/2024,692709.3,0.4,7/2/2023,B2C,social media,37890,5596,2436,11
31531.6,Sharable secondary migration,referral,0.68,9/21/2023,551172.95,0.5,4/4/2023,B2C,webinar,32299,5634,2322,15
51428.64,Quality-focused methodical policy,referral,0.28,10/10/2023,110819.1,0.26,10/23/2022,B2C,social media,12693,1027,448,1
83726.63,Distributed multimedia encryption,organic,0.13,1/22/2024,458296.26,0.5,8/16/2022,B2B,webinar,39467,2038,723,0
85417.27,Switchable user-facing archive,referral,0.74,6/11/2024,509606.8,0.78,10/22/2022,B2C,webinar,39723,2801,930,6
44082.14,Virtual bottom-line parallelism,organic,0.49,9/5/2023,903002.29,0.5,8/16/2022,B2C,email,13627,2521,615,3
61946.3,Customer-focused mobile Graphic Interface,paid,0.85,11/21/2023,217755.18,0.89,1/19/2023,B2C,webinar,35939,6507,1942,16
50168.89,Networked asynchronous standardization,referral,0.67,1/6/2024,610750.16,0.14,6/6/2023,B2B,email,31834,4444,1467,9
54331.15,Persevering coherent concept,promotion,0.39,12/13/2023,992544.71,0.5,9/15/2022,B2B,social media,28047,3928,890,3
72529.72,Secured systemic groupware,referral,0.24,10/17/2023,97176.72,0.83,8/28/2022,B2C,email,36105,5406,1438,3
40881.17,Team-oriented motivating productivity,promotion,0.1,9/6/2023,689581.23,0.35,9/21/2022,B2B,podcast,20230,1543,585,0
68885.7,Seamless exuding model,organic,0.21,8/5/2023,162090.83,0.19,11/20/2022,B2B,webinar,25707,4811,2023,4
48358.0,Cross-platform bandwidth-monitored model,paid,0.39,9/16/2023,507844.26,0.3,2/23/2023,B2C,email,31976,3607,1801,7
98289.74,Face-to-face high-level synergy,paid,0.79,6/3/2024,811980.83,0.99,8/15/2022,B2B,webinar,33776,3629,1741,13
4016.62,Compatible eco-centric access,referral,0.99,9/4/2023,773055.56,0.62,8/24/2022,B2B,social media,40080,5123,2012,19
41419.79,Down-sized web-enabled data-warehouse,organic,0.35,6/3/2024,289139.49,0.74,4/8/2023,B2B,social media,11306,644,210,0
52686.92,Streamlined non-volatile projection,organic,0.28,1/19/2024,443069.55,0.18,10/17/2022,B2B,social media,16776,1257,491,1
16420.77,Synergized client-driven algorithm,organic,0.73,12/5/2023,632069.31,0.92,4/11/2023,B2C,social media,37251,5986,2608,19
46976.52,Cross-platform composite matrix,organic,0.85,2/25/2024,371431.14,0.1,10/30/2022,B2C,webinar,19474,1215,286,2
91122.63,Networked background utilization,organic,0.7,5/19/2024,831243.27,0.5,3/12/2023,B2C,social media,31959,4489,1449,10
4855.98,Quality-focused composite challenge,promotion,0.85,1/28/2024,649003.16,0.35,12/1/2022,B2B,podcast,15530,1348,609,5
54503.83,Enhanced asymmetric open system,promotion,0.9,12/20/2023,79089.3,0.5,4/8/2023,B2B,social media,39320,4262,1343,12
12098.23,Innovative hybrid time-frame,paid,0.44,12/21/2023,270608.24,0.5,8/12/2022,B2C,email,13748,1282,476,2
14419.22,Re-engineered intangible intranet,promotion,0.18,3/15/2024,108083.4,0.29,3/6/2023,B2C,podcast,41968,4337,1632,2
59892.4,Multi-channeled zero administration software,promotion,0.66,10/17/2023,940283.84,0.68,1/9/2023,B2B,email,42562,6718,1715,11
5197.61,Universal national adapter,referral,0.78,7/5/2024,61121.6,0.1,11/28/2022,B2C,social media,23545,2226,687,5
6310.87,Centralized system-worthy knowledgebase,paid,0.62,1/20/2024,845412.79,0.74,9/16/2022,B2C,email,10663,1439,432,2
80612.13,Open-architected asymmetric time-frame,promotion,0.97,6/3/2024,112762.13,0.31,3/25/2023,B2C,podcast,44766,5434,1129,10
80358.87,Centralized leadingedge Local Area Network,organic,0.64,9/27/2023,112718.32,0.5,1/31/2023,B2B,webinar,17994,2691,557,3
73855.23,Organized needs-based conglomeration,promotion,0.5,10/2/2023,215072.47,0.54,10/19/2022,B2B,social media,38021,7243,3255,16
63911.62,Optional secondary collaboration,organic,0.49,2/28/2024,177445.17,0.4,4/19/2023,B2C,podcast,40303,6443,1816,8
50124.39,Synchronized client-driven challenge,paid,0.22,8/22/2023,639517.42,0.7,2/8/2023,B2B,social media,13304,1094,388,0
38086.24,Enterprise-wide zero administration Graphic Interface,paid,0.71,5/11/2024,684590.46,0.65,11/24/2022,B2C,podcast,49353,2698,781,5
48046.33,Programmable local moratorium,promotion,0.45,8/15/2023,50534.85,0.9,3/27/2023,B2C,podcast,27675,2472,1192,5
63808.2,Networked systematic attitude,promotion,0.17,10/2/2023,275542.3,0.67,11/1/2022,B2B,email,33938,4726,1312,2
26057.53,Pre-emptive solution-oriented standardization,referral,0.32,12/24/2023,169915.72,0.94,1/31/2023,B2B,email,33664,1942,638,2
56381.6,Down-sized contextually-based strategy,referral,0.41,1/20/2024,492601.2,0.7,12/7/2022,B2C,social media,11636,1448,668,2
57815.1,Reverse-engineered zero administration workforce,promotion,0.65,10/14/2023,962065.9,0.62,10/11/2022,B2B,webinar,30080,4196,1899,12
75262.37,Pre-emptive real-time database,referral,0.7,9/11/2023,421847.27,0.75,7/28/2023,B2B,webinar,37728,3777,966,6
43226.59,Business-focused foreground budgetary management,referral,0.53,12/10/2023,573462.79,0.95,6/14/2023,B2B,social media,36736,6084,2681,14
84506.27,Stand-alone multi-tasking methodology,organic,0.63,5/3/2024,375663.38,0.8,11/2/2022,B2C,podcast,38673,2552,861,5
36457.88,Proactive eco-centric process improvement,organic,0.73,12/27/2023,905182.53,0.28,1/8/2023,B2B,social media,47505,2910,1003,7
10038.96,Digitized human-resource knowledge user,promotion,0.7,1/25/2024,911686.87,0.36,2/4/2023,B2B,podcast,10854,1728,414,2
27079.85,Ergonomic next generation hub,referral,0.3,1/27/2024,784636.2,0.32,12/18/2022,B2C,social media,34548,4295,962,2
34512.86,Realigned radical hardware,referral,0.87,7/12/2024,999712.49,0.2,11/3/2022,B2B,webinar,48623,7451,3117,27
16063.49,Grass-roots national approach,promotion,0.69,3/21/2024,868083.16,0.99,8/29/2022,B2B,email,17392,2003,698,4
61343.2,Synergistic mobile task-force,referral,0.73,11/20/2023,943514.25,0.91,11/2/2022,B2B,social media,31556,2744,908,6
39585.98,Customer-focused fault-tolerant help-desk,promotion,0.99,12/25/2023,889037.24,0.11,10/8/2022,B2B,podcast,48559,8394,3515,34
99535.21,Face-to-face 6thgeneration portal,paid,0.15,9/5/2023,142678.88,0.59,5/8/2023,B2B,social media,36309,6169,2650,3
44466.83,Ameliorated encompassing capacity,promotion,0.31,7/28/2024,504690.83,0.15,2/19/2023,B2B,webinar,31919,4922,1219,3
70841.82,Digitized optimizing capability,paid,0.76,10/12/2023,406913.89,0.22,8/25/2022,B2C,podcast,14931,1356,519,3
62752.63,Triple-buffered zero tolerance circuit,paid,0.32,3/18/2024,307410.29,0.3,4/27/2023,B2C,podcast,42970,5952,1432,4
97748.2,Open-source background firmware,referral,0.96,4/9/2024,543371.38,0.73,7/4/2023,B2C,email,22688,2362,1004,9
67048.32,Expanded global matrices,organic,0.42,4/16/2024,246285.96,0.78,11/28/2022,B2B,webinar,35342,2252,894,3
34303.92,Organized regional implementation,paid,0.48,12/31/2023,420804.86,0.13,2/13/2023,B2C,webinar,47157,8846,4307,20
52871.17,Realigned stable parallelism,promotion,0.53,1/18/2024,611779.7,0.19,3/31/2023,B2B,webinar,12327,869,191,1
53678.65,Networked executive knowledgebase,promotion,0.24,8/19/2023,129992.9,0.47,10/18/2022,B2B,email,10197,1963,426,1
21921.72,Multi-tiered neutral standardization,organic,0.55,11/26/2023,721273.96,0.74,5/9/2023,B2C,webinar,33509,3917,1114,6
98706.34,Virtual cohesive orchestration,promotion,0.92,8/21/2023,499658.4,0.69,3/11/2023,B2C,email,44698,3476,968,8
16290.7,Progressive 4thgeneration policy,promotion,0.99,4/20/2024,172899.7,0.49,10/6/2022,B2C,webinar,25087,3293,902,8
24936.91,Monitored impactful installation,promotion,0.37,11/25/2023,541332.72,0.9,7/28/2023,B2B,webinar,32671,5911,2789,10
20401.62,Automated responsive initiative,paid,0.28,5/12/2024,875354.92,0.6,8/30/2022,B2B,podcast,35184,5623,1545,4
33675.46,Function-based grid-enabled conglomeration,promotion,0.89,5/3/2024,203504.87,0.18,12/6/2022,B2B,email,37848,6471,1822,16
87618.4,Polarized dynamic analyzer,promotion,0.5,7/26/2024,274321.91,0.97,6/27/2023,B2C,podcast,30666,4563,1952,9
33524.69,Centralized methodical alliance,paid,0.19,2/11/2024,970610.35,0.6,7/19/2023,B2C,podcast,25708,3954,1324,2
86623.59,Visionary directional open architecture,organic,0.23,5/29/2024,107133.96,0.26,5/2/2023,B2C,webinar,36370,6451,2793,6
8473.58,Reduced static functionalities,organic,0.93,1/8/2024,840891.99,0.29,3/9/2023,B2B,social media,12811,1120,245,2
20951.3,Sharable upward-trending initiative,organic,0.24,4/9/2024,994306.41,0.58,10/23/2022,B2C,social media,16546,2042,707,1
36331.8,Front-line eco-centric open system,promotion,0.76,7/6/2024,622639.37,0.9,6/16/2023,B2B,social media,44754,3722,781,5
19401.94,Managed bandwidth-monitored complexity,organic,0.25,4/4/2024,617007.9,0.92,3/21/2023,B2B,email,40206,7966,1742,4
59532.42,Re-engineered non-volatile algorithm,paid,0.9,11/6/2023,773688.33,0.7,3/4/2023,B2B,webinar,21411,4102,1935,17
98089.92,Integrated secondary migration,paid,0.22,4/26/2024,522231.68,0.33,1/4/2023,B2C,webinar,12911,721,174,0
16308.37,Horizontal 6thgeneration model,promotion,0.37,10/29/2023,511344.87,0.65,11/19/2022,B2C,webinar,11734,1828,657,2
36824.24,Robust optimizing projection,promotion,0.42,11/6/2023,971476.94,0.93,6/12/2023,B2B,email,28227,5328,1722,7
62406.71,Right-sized scalable open architecture,promotion,0.67,12/24/2023,123917.89,0.3,2/6/2023,B2B,webinar,18680,1439,437,2
96713.47,Optional mission-critical project,paid,0.63,7/22/2024,995340.62,0.92,8/6/2022,B2C,podcast,29360,3969,1865,11
91490.92,Focused responsive open architecture,referral,0.95,1/28/2024,38601.99,0.93,11/9/2022,B2C,webinar,28343,5309,1096,10
12246.32,Reverse-engineered static infrastructure,referral,0.44,5/29/2024,987205.29,0.48,7/26/2023,B2B,email,15759,868,346,1
29724.33,Monitored grid-enabled productivity,promotion,0.27,6/7/2024,961419.64,0.61,1/8/2023,B2C,podcast,33078,5114,2500,6
32343.79,Cross-group foreground ability,paid,0.5,11/27/2023,55043.59,0.99,3/11/2023,B2B,social media,45153,4271,1571,7
59590.26,Switchable mobile toolset,referral,0.99,4/16/2024,574709.76,0.83,6/25/2023,B2B,podcast,21111,3982,1915,18
77582.36,Front-line mobile ability,promotion,0.47,8/18/2023,428175.9,0.65,11/12/2022,B2C,podcast,47504,9294,2004,9
23477.6,Optional systemic adapter,paid,0.34,12/16/2023,219063.7,0.26,12/15/2022,B2B,email,11802,2261,736,2
9666.13,User-friendly responsive parallelism,referral,0.65,5/8/2024,53039.92,0.86,10/31/2022,B2C,email,18155,2199,611,3
63938.71,Mandatory grid-enabled throughput,referral,0.49,8/6/2023,890569.79,0.0,6/7/2023,B2C,email,18120,3249,1362,6
